;y;x;name;type;id;category;surface;parking
0;33.5446668;-7.6404008;Marjane Californie;node;553212547;Super Market;4500;1
1;33.5945384;-7.595292;Acima;node;1464579577;Super Market;1500;1
2;33.5746919;-7.7081046;Marjane Market Ghandi Mall;node;1848408214;Super Market;250;0
3;33.5771567;-7.6741813;Carrefour Market Anfa;node;1848525532;Super Market;250;0
4;33.587934;-7.6393035;Supermarché Mamoun;node;1867124354;Super Market;250;0
5;33.5946995;-7.6515832;Marjane Market Riad Anfa;node;2156197334;Super Market;1500;1
6;33.5908294;-7.6461785;Carrefour Gourmet;node;2156197358;Super Market;1500;1
7;33.6022232;-7.5788395;Hachmi;node;2349795861;Super Market;250;0
8;33.5981369;-7.6644676;Carrefour Market Anfa Place;node;2382130572;Super Market;1500;1
9;33.5640326;-7.555968;BIM;node;2694336684;Super Market;250;0
10;33.5801558;-7.6407794;Carrefour Market Gauthier 2;node;2711741036;Super Market;250;0
11;33.5972247;-7.6346254;Bim;node;2714699192;Super Market;250;0
12;33.5918499;-7.6384408;Libre Service ZAKI;node;2879158742;Super Market;100;0
13;33.6014315;-7.6346726;Bim;node;2881796420;Super Market;250;0
14;33.595682;-7.531687;Marjane;node;2892372049;Super Market;1500;1
15;33.601049;-7.632989;Supermarche ;node;2895214170;Super Market;250;0
16;33.5730326;-7.6198771;Carrefour Market;node;2902579299;Super Market;1500;1
17;33.5729969;-7.6201882;BIM;node;2902579300;Super Market;100;0
18;33.5733212;-7.6564955;O'self;node;2903614171;Super Market;250;1
19;33.5737413;-7.6556158;Tropy;node;2903614179;Super Market;250;
20;33.5708852;-7.6517909;BIM;node;2903614192;Super Market;250;
21;33.5879874;-7.6412286;Diabètic Shop;node;3091356738;Super Market;100;
22;33.557744;-7.559864;BIM;node;3220291686;Super Market;250;
23;33.5835673;-7.596623;Protectron Maroc;node;3221061261;Super Market;250;
24;33.5841994;-7.5826163;Supermarche Bim;node;3228678356;Super Market;1500;
25;33.5939838;-7.6244925;Bim;node;3359696119;Super Market;259;
26;33.5957829;-7.628286;Bim;node;3602074169;Super Market;250;
27;33.597148;-7.6294045;Label' Vie Carrefour Market;node;3602074170;Super Market;250;
28;33.5761212;-7.6156344;Acima Mers Sultan;node;3639392309;Super Market;250;
29;33.5808385;-7.5928561;Aswak Assalam;node;3788381533;Super Market;250;
30;33.5891579;-7.6310019;BIM;node;4100382809;Super Market;250;
31;33.5386572;-7.5532235;Marché Salmia 2;node;4114077690;Super Market;250;
32;33.3808071;-7.5346227;BIM;node;4129023489;Super Market;250;
33;33.5972407;-7.6152396;BMI;node;4193561290;Super Market;1500;
34;33.5905784;-7.5928946;Bim;node;4221347648;Super Market;250;
35;33.5886673;-7.6130079;my SuperMarket;node;4225325278;Super Market;1500;
36;33.5925748;-7.4882884;BIM;node;4338345197;Super Market;250;
37;33.5935945;-7.49564;BIM;node;4338387289;Super Market;250;
38;33.6039372;-7.4892783;BIM;node;4346039590;Super Market;250;
39;33.6205532;-7.4870931;BIM;node;4350335179;Super Market;250;
40;33.5882331;-7.6310778;Economat du professeur;node;4398086252;Super Market;100;
41;33.5844973;-7.6080134;Carrefour;node;4486145290;Super Market;1500;
42;33.5479552;-7.5974437;market arabe;node;4547873290;Super Market;100;
43;33.5395666;-7.5833828;BIM;node;4588766267;Super Market;250;
44;33.540036;-7.6003544;Acima 2;node;4680487690;Super Market;250;
45;33.5745369;-7.6499745;Acima 3;node;4745754458;Super Market;250;
46;33.5982648;-7.5223526;BIM;node;4949762492;Super Market;250;
47;33.568153;-7.5316741;Bim;node;5081744174;Super Market;250;
48;33.5866306;-7.5924065;Tachfine center;node;5126989232;Super Market;250;
49;33.5759943;-7.5179027;Bim;node;5291843491;Super Market;250;
50;33.5725129;-7.5318442;Bim;node;5291843492;Super Market;250;
51;33.6002411;-7.6178059;my SuperMarket;node;5314907624;Super Market;1500;
52;33.5739187;-7.6445744;Carrefour;node;5321031121;Super Market;1500;
53;33.600148;-7.6178386;my SuperMarket;node;5322671621;Super Market;1500;
54;33.5614104;-7.5337165;BIM;node;5506425821;Super Market;250;
55;33.5841408;-7.599484;Carrefour Market;node;5579609066;Super Market;1500;
56;33.5930481;-7.5174715;Plus;node;5618306120;Super Market;100;
57;33.588586;-7.6110077;Asia Supermarche;node;5633523498;Super Market;250;
58;33.5879069;-7.6125249;Acima;node;5657167238;Super Market;250;
59;33.588499;-7.6144239;my SuperMarket;node;5657167250;Super Market;1500;
60;33.59444;-7.6086746;Marjane;node;5657171554;Super Market;1500;
61;33.5842229;-7.6375868;Bim;node;5700510319;Super Market;250;
62;33.5553862;-7.6997912;Bim;node;6027845069;Super Market;250;
63;33.5926838;-7.6011795;Carrefour Market;node;6051578742;Super Market;1500;
64;33.586847;-7.6033536;Bim;node;6051578743;Super Market;250;
65;33.5998615;-7.6374127;BIM;node;6260970486;Super Market;250;
66;33.6019964;-7.6380539;BIM;node;6260970985;Super Market;250;
67;33.6008678;-7.6355528;Otob;node;6260971085;Super Market;100;
68;33.5343791;-7.7254623;BIM;node;6411471543;Super Market;250;
69;33.5944393;-7.6061698;my SuperMarket;node;6427695686;Super Market;1500;
70;33.5189452;-7.6444846;Bim;node;6567406902;Super Market;250;
71;33.5217794;-7.6455492;Epicier Oujdi;node;6593067875;Super Market;100;
72;33.5147228;-7.6453389;BIM;node;6593157471;Super Market;250;
73;33.5275334;-7.649661;Bim;node;6593304003;Super Market;250;
74;33.5845244;-7.5545517;my supermarket;node;7081606785;Super Market;100;
75;33.4753036;-7.6069947;Marjane;node;7099431252;Super Market;1500;
76;33.612414;-7.499001;Bim;node;7168679419;Super Market;250;
77;33.6180007;-7.4804327;BIM;node;7168974694;Super Market;250;
78;33.6028221;-7.51024;Bim;node;7169432350;Super Market;250;
79;33.6085701;-7.5204759;BIM;node;7169432352;Super Market;250;
80;33.5660726;-7.6386639;marche riviera;node;7506518473;Super Market;100;
81;33.5337483;-7.5561429;alimentation general ZAHRI;node;7524700685;Super Market;100;
82;33.5833045;-7.6221079;Bim;node;8755951134;Super Market;250;
83;33.5740027;-7.6361846;Carrefour Market;node;8756264788;Super Market;1500;
84;33.5757154;-7.6473604;Delicatess;node;8756312688;Super Market;100;
85;33.5765392;-7.6464177;Bim;node;8756312691;Super Market;250;
86;33.5937022;-7.5987385;BIM;node;8757524291;Super Market;250;
87;33.5761384;-7.6601328;Tropy;node;8758727346;Super Market;100;
88;33.5668178;-7.6559634;Marjane Market;node;8759322185;Super Market;1500;
89;33.591678;-7.5948403;my SuperMarket;node;8810113917;Super Market;1500;
90;33.6083504;-7.4998647;my supermarket;node;8880696017;Super Market;100;
91;33.5865086;-7.5030457;my supermarket;node;8880696018;Super Market;100;
92;33.5802619;-7.6224175;ADIPRO;node;9620605641;Super Market;100;
93;33.5805361;-7.6217608;Art Deco Et Laser;node;9620605642;Super Market;100;
94;33.5802289;-7.6232078;Espace Turquie;node;9620605648;Super Market;100;
95;33.5798484;-7.6228174;Societe Industrielle De Produits Medical Sa;node;9620605649;Super Market;1500;
96;33.5794161;-7.6229794;Ensure Services;node;9620605651;Super Market;100;
97;33.5789653;-7.6221811;BIM;node;9620684478;Super Market;250;
98;33.5787764;-7.6219061;KADI MED;node;9620697123;Super Market;100;
99;33.5739454;-7.5588138;BIM;node;10148183633;Super Market;250;
100;33.593301;-7.6273077;my SuperMarket;node;10218098519;Super Market;100;
101;33.5624485;-7.5748432;souq  baladia;node;10276316930;Super Market;100;
102;33.5886301;-7.6418577;my SuperMarket;node;10540018109;Super Market;1500;
103;33.607527;-7.5368732;Carrefour;node;10541977576;Super Market;1500;
104;33.5992312;-7.6373297;CARRE PRIMEUR;node;10789792414;Super Market;1500;
105;33.6021269;-7.5265618;Carrefour Market;node;10920437129;Super Market;1500;
106;33.5897112;-7.6295197;my SuperMarket;node;11059511506;Super Market;100;
107;33.5630833;-7.6476427;BIM;node;11220917816;Super Market;250;
108;33.5710869;-7.6094122;Bim;node;11220946094;Super Market;250;
109;33.5894279;-7.6137309;Bim;node;11222390833;Super Market;250;
110;33.5987457;-7.5751282;Carrefour;node;11359850533;Super Market;1500;
0;33.593057;-7.598525;Shell;node;1464276480;Fuel Station;1500;
1;33.5892298;-7.5965419;Shell ;node;1464579523;Fuel Station;1500;
2;33.5880813;-7.6037302;Oilibya;node;1464579563;Fuel Station;500;
3;33.5888428;-7.5973879;Oilibya;node;1464579595;Fuel Station;500;
4;33.5974373;-7.6290061;my Fuel Station;node;1746921480;Fuel Station;100;
5;33.5963033;-7.6309065;Somap;node;1746923047;Fuel Station;500;
6;33.4391387;-7.5209454;my Fuel Station;node;2135428243;Fuel Station;100;
7;33.4575282;-7.5218118;my Fuel Station;node;2135428343;Fuel Station;100;
8;33.5212361;-7.5574575;Afriquia;node;2146499640;Fuel Station;1500;
9;33.5825408;-7.6021553;Station Total Al Madina;node;2428391666;Fuel Station;1500;
10;33.5827681;-7.6039363;my Fuel Station;node;2428391681;Fuel Station;100;
11;33.5835667;-7.5981966;Total ;node;2428391692;Fuel Station;1500;
12;33.5869146;-7.5949272;my Fuel Station;node;2428391732;Fuel Station;100;
13;33.5876079;-7.598817;Shell ;node;2428391734;Fuel Station;1500;
14;33.5880346;-7.602086;my Fuel Station;node;2428391736;Fuel Station;100;
15;33.5908396;-7.6544861;my Fuel Station;node;2428391748;Fuel Station;100;
16;33.5948903;-7.6037693;Oilibya;node;2428391774;Fuel Station;500;
17;33.5951462;-7.5944075;station total alamal;node;2428391775;Fuel Station;1500;
18;33.5963947;-7.5986993;my Fuel Station;node;2428391777;Fuel Station;100;
19;33.5284272;-7.6797646;my Fuel Station;node;2428404622;Fuel Station;100;
20;33.5470132;-7.7442477;my Fuel Station;node;2428404642;Fuel Station;100;
21;33.5992711;-7.6352132;my Fuel Station;node;2508629561;Fuel Station;100;
22;33.4996801;-7.6589881;my Fuel Station;node;2579659697;Fuel Station;100;
23;33.5793354;-7.6363671;Station Winxo;node;2641044302;Fuel Station;500;
24;33.5076139;-7.6314676;Somap Bouskoura;node;2880345530;Fuel Station;500;
25;33.5460644;-7.5840928;my Fuel Station;node;2951687867;Fuel Station;100;
26;33.5454093;-7.5835536;my Fuel Station;node;2951687949;Fuel Station;100;
27;33.5627036;-7.5934349;my Fuel Station;node;2951688143;Fuel Station;100;
28;33.572145;-7.5977452;my Fuel Station;node;2951711842;Fuel Station;100;
29;33.5885145;-7.4987502;my Fuel Station;node;3049352057;Fuel Station;100;
30;33.5934905;-7.5821275;Winxo;node;3118803983;Fuel Station;500;
31;33.6016802;-7.6330158;Station d'essence Shell;node;3227963331;Fuel Station;1500;
32;33.5101583;-7.6081449;my Fuel Station;node;3330956949;Fuel Station;100;
33;33.4781674;-7.7561438;my Fuel Station;node;3533488689;Fuel Station;100;
34;33.5947842;-7.5873788;La Pompe Diesel (77);node;3665631183;Fuel Station;500;
35;33.4870125;-7.6734753;my Fuel Station;node;3948759289;Fuel Station;100;
36;33.4850515;-7.6711922;my Fuel Station;node;3948759290;Fuel Station;100;
37;33.4706834;-7.5136215;my Fuel Station;node;3951078391;Fuel Station;100;
38;33.507225;-7.4302449;my Fuel Station;node;3955686599;Fuel Station;100;
39;33.5789079;-7.6549391;Winxo;node;3975134179;Fuel Station;500;
40;33.5482425;-7.5732862;Station-service Total;node;3976720781;Fuel Station;1500;
41;33.5371836;-7.6425542;Afriquia ;node;4000899101;Fuel Station;1500;
42;33.5807727;-7.6318467;Total;node;4184377120;Fuel Station;1500;
43;33.574859;-7.6101748;Total;node;4188238480;Fuel Station;1500;
44;33.5538978;-7.5628193;my Fuel Station;node;4203236826;Fuel Station;100;
45;33.5675533;-7.5832292;my Fuel Station;node;4203236981;Fuel Station;100;
46;33.5317175;-7.6746083;my Fuel Station;node;4213195816;Fuel Station;100;
47;33.4996267;-7.5419767;Oilibya;node;4215514571;Fuel Station;500;
48;33.5118639;-7.5480767;Ziz;node;4215515946;Fuel Station;500;
49;33.5447978;-7.5830327;my Fuel Station;node;4226935554;Fuel Station;100;
50;33.6039884;-7.492582;station Afriquia al azhar;node;4335454889;Fuel Station;1500;
51;33.5282171;-7.4941711;my Fuel Station;node;4617180987;Fuel Station;100;
52;33.5047862;-7.7440845;my Fuel Station;node;4650112600;Fuel Station;100;
53;33.5994768;-7.6132333;Gare de Casablanca;node;4879032221;Fuel Station;2000;
54;33.5380991;-7.7176864;Afriquia ;node;5081987821;Fuel Station;1500;
55;33.578109;-7.5528897;my Fuel Station;node;5291826284;Fuel Station;100;
56;33.5738358;-7.5541675;Shell;node;5291827951;Fuel Station;1500;
57;33.5402019;-7.6003164;my Fuel Station;node;5542854912;Fuel Station;100;
58;33.5097981;-7.6307589;Petrom ;node;5551251276;Fuel Station;1500;
59;33.5675851;-7.5823165;Shell ;node;5581600705;Fuel Station;1500;
60;33.5771499;-7.5878003;my Fuel Station;node;5625470387;Fuel Station;100;
61;33.5897715;-7.5965725;Oilibya;node;5627642655;Fuel Station;500;
62;33.5878069;-7.6159032;Winxo;node;5633937655;Fuel Station;500;
63;33.58582;-7.5843591;Shell ;node;5635622767;Fuel Station;1500;
64;33.5716067;-7.5996778;Winxo;node;5638416375;Fuel Station;500;
65;33.57716;-7.615592;Oilibya;node;5640585943;Fuel Station;500;
66;33.5734761;-7.6149564;Shell;node;5640585944;Fuel Station;1500;
67;33.572219;-7.6141208;Total;node;5640585945;Fuel Station;1500;
68;33.5835911;-7.6050094;Shell ;node;5641864368;Fuel Station;1500;
69;33.5636135;-7.6337291;Ziz;node;5642305374;Fuel Station;500;
70;33.5033322;-7.6591383;my Fuel Station;node;5648539786;Fuel Station;100;
71;33.4498437;-7.5179838;my Fuel Station;node;5650485116;Fuel Station;100;
72;33.4307971;-7.5229345;my Fuel Station;node;5650485237;Fuel Station;100;
73;33.4541136;-7.5211152;my Fuel Station;node;5652120330;Fuel Station;100;
74;33.566709;-7.6766458;Afriquia;node;5670372144;Fuel Station;1500;
75;33.5341064;-7.7238849;Petromin Oils;node;5683397713;Fuel Station;1500;
76;33.669425;-7.4421759;my Fuel Station;node;5694034965;Fuel Station;100;
77;33.5123915;-7.701579;my Fuel Station;node;5732872739;Fuel Station;1000;
78;33.4780755;-7.7558921;Petromin oil;node;6147524473;Fuel Station;1500;
79;33.5958156;-7.6006599;Shell ;node;6411404062;Fuel Station;1500;
80;33.5194105;-7.6933359;my Fuel Station;node;6474152133;Fuel Station;100;
81;33.4851447;-7.6722805;my Fuel Station;node;6474152379;Fuel Station;100;
82;33.5063539;-7.6314093;Shell ;node;6593075832;Fuel Station;1500;
83;33.5093765;-7.6313264;Petrom;node;6593075835;Fuel Station;1500;
84;33.5095476;-7.6318077;Petrom;node;6593075836;Fuel Station;1500;
85;33.5134999;-7.6316073;Afriquia;node;6593094659;Fuel Station;1500;
86;33.4874825;-7.6338318;Petromine Bouskoura;node;6593094660;Fuel Station;1500;
87;33.4662505;-7.5141552;my Fuel Station;node;6974317034;Fuel Station;100;
88;33.4569214;-7.5214191;my Fuel Station;node;6976675121;Fuel Station;100;
89;33.5536408;-7.5916834;my Fuel Station;node;7171037485;Fuel Station;100;
90;33.5661757;-7.5059259;my Fuel Station;node;8391233250;Fuel Station;100;
91;33.5175058;-7.7579516;my Fuel Station;node;8401207100;Fuel Station;100;
92;33.5831242;-7.6231905;Station-service Winxo;node;9620906356;Fuel Station;500;
93;33.6206902;-7.4572487;my Fuel Station;node;10169627382;Fuel Station;100;
94;33.6021731;-7.4675277;my Fuel Station;node;10169627390;Fuel Station;100;
95;33.6222385;-7.4549535;my Fuel Station;node;10169627398;Fuel Station;100;
96;33.4908342;-7.5825205;my Fuel Station;node;10628065655;Fuel Station;100;
97;33.517846;-7.6102363;my Fuel Station;node;10628127912;Fuel Station;100;
98;33.4980671;-7.5039893;my Fuel Station;node;10709086430;Fuel Station;100;
99;33.5058597;-7.7106339;my Fuel Station;node;10871648105;Fuel Station;100;
0;33.4613152;-7.6516631;Bouskoura oil;node;485910991;Gare station;500;
1;33.5175026;-7.6583805;Gare Ennassim;node;485940044;Gare station;500;
2;33.5993825;-7.6123131;Casa Port;node;2429582026;Gare station;2500;
3;33.5767396;-7.6364792;Casablanca-Maarif;node;4352882592;Gare station;1500;
4;33.5532527;-7.6571082;Anfa Sud;node;5604704331;Gare station;1000;
5;33.5632426;-7.6586212;Anfa Centre;node;5604704357;Gare station;1000;
6;33.5719544;-7.6479067;my Station;node;6205364396;Gare station;500;
7;33.595345;-7.6183219;Place des Nations-Unies;node;6205364422;Gare station;1500;
8;33.5501636;-7.6519513;my Station;node;6205371669;Gare station;500;
9;33.579126;-7.6361947;my Station;node;6205371670;Gare station;500;
10;33.5855888;-7.6295962;my Station;node;6205371671;Gare station;500;
11;33.5896049;-7.6258831;my Station;node;6205371672;Gare station;500;
12;33.6061756;-7.5732731;my Station;node;6205371673;Gare station;500;
13;33.5903553;-7.5896849;Casa Voyageurs;node;7055155496;Gare station;2500;
